"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Sample testing.
        Expected result is 5
        :return:
        ","0","Find the int that appears an odd number of times","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Data Structures","",""
"
        a or b is negative
        :return:
        ","0","a or b is negative","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing 'sum_triangular_numbers' function
        with positive numbers
        :return:
        ","0","Testing 'sum_triangular_numbers' with positive numbers","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Algorithms","",""
"
        Test the function called that takes a string of parentheses,
        and determines if the order of the parentheses is valid.
        The function should return true if the string is valid,
        and false if it's invalid.

        Examples

        ""()""              =>  true
        "")(()))""          =>  false
        ""(""               =>  false
        ""(())((()())())""  =>  true
        :return:
        ","0","Testing valid_parentheses function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Basic test case
        :return:
        ","0","test_triangle","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing Battleship field validator

        Testing a method that takes a field for well-known board game ""Battleship""
        as an argument and returns true if it has a valid disposition of ships,
        false otherwise. Argument is guaranteed to be 10*10 two-dimension array.
        Elements in the array are numbers, 0 if the cell is free and 1 if occupied by ship.
        ","0","Testing validate_battlefield function","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        The 'pyramid' function should return
        an Array of ascending length subarrays.

        Note: the subarrays should be filled with 1s.
        :return:
        ","0","Testing the 'pyramid' function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing Line Safari functionality
        Positive test cases
        ","0","test_line_positive","Competent","Mon Aug 26 22:05:27 PDT 2024","skipped","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing gap function with various test inputs

        A binary gap within a positive number num is
        any sequence of consecutive zeros that is
        surrounded by ones at both ends in the binary
        representation of num.

        The gap function should return the length of
        its longest binary gap.

        The function should return 0 if num doesn't
        contain a binary gap.
        :return:
        ","0","Testing gap function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Advanced Language Features","",""
"
        Testing permutations function

        Test that permutations function creates all
        permutations of an input string and
        remove duplicates, if present. This means, you
        have to shuffle all letters from the input in all
        possible orders.
        ","0","test_permutations","Competent","Mon Aug 26 22:05:27 PDT 2024","skipped","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing 'sum_triangular_numbers' function
        with zero as an input
        :return:
        ","0","Testing 'sum_triangular_numbers' with zero","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing shark function -> negative
        :return:
        ","0","Testing shark function (negative)","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Math","",""
"
        Testing check_exam function

        The function should return the score
        for this array of answers, giving +4
        for each correct answer, -1 for each
        incorrect answer, and +0 for each blank
        answer(empty string).

        :return:
        ","0","Testing check_exam function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Basic test case
        :return:
        ","0","test_basic","Beginner","Mon Aug 26 21:37:54 PDT 2024","passed","Mon Aug 26 21:37:54 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing check_for_factor function.

        This function should test if the
        factor is a factor of base.

        Return true if it is a factor.
        :return:
        ","0","Testing check_for_factor function: positive flow","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Math","",""
"
        Testing done_or_not function

        Testing a function done_or_not/DoneOrNot passing a board
        (list[list_lines]) as parameter. If the board is valid return
        'Finished!', otherwise return 'Try again!'
        :return:
        ","0","Testing done_or_not function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Test namelist

        Given:
        an array containing hashes of names

        Return:
        a string formatted as a list of names separated by commas
        except for the last two names, which should be separated
        by an ampersand.

        :return:
        ","0","String with no duplicate chars","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing calc class

        Given a mathematical expression as a string you
        must return the result as a number.
        ","19","Testing calc function","Proficient","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"","0","Testing likes function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Fundamentals","",""
"","0","Testing row_sum_odd_numbers function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing shark function -> positive
        :return:
        ","0","Testing shark function (positive)","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Math","",""
"
        Test with empty list
        :return:
        ","0","'multiply' function verification with empty list","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Test string with alphabet chars only
        :return:
        ","0","String with alphabet chars only","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing men_from_boys function with
        various test inputs

        Scenario
        Now that the competition gets tough it
        will Sort out the men from the boys .

        Men are the Even numbers and Boys are
        the odd !alt !alt

        Task
        Given an array/list [] of n integers ,
        Separate The even numbers from the odds ,
        or Separate the men from the boys !alt !alt

        Notes
        Return an array/list where Even numbers
        come first then odds.
        Since , Men are stronger than Boys ,
        Then Even numbers in ascending order
        While odds in descending.
        :return:
        ","0","Testing men_from_boys function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing a function that checks if a given number n is a prime
        looping through it and, possibly, expanding the array/list of
        known primes only if/when necessary (ie: as soon as you check
        for a potential prime which is greater than a given threshold
        for each n, stop).

        :return:
        ","16","Testing is_prime function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing duplicate_encode function
        with various test inputs
        :return:
        ","0","Testing duplicate_encode function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing next_smaller function

        You have to test a function that takes a positive integer number
        and returns the next smaller number formed by the same digits:

        21 ==> 12
        531 ==> 513
        2071 ==> 2017

        If no smaller number can be composed using those digits, return -1
        ","15","Testing next_smaller function","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Returns a list that misses only one element
        :return:
        ","0","'multiply' function verification with random list","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Negative tests
        :return:
        ","0","Testing period_is_late function (negative)","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing Battle method
        ","0","Testing Battle method","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","OOP","",""
"","0","Testing to_table function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Fundamentals","",""
"
        Returns [] if list has only one element
        :return:
        ","0","'multiply' function verification with one element list","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing spiralize function
        ","0","Testing spiralize function","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Your task is to verify that 'order' function
        sorts a given string by following rules:

            1. Each word in the string will contain a single number.
               This number is the position the word should have in the result.

            2. Note: Numbers can be from 1 to 9. So 1 will be the first word (not 0).

            3. If the input string is empty, return an empty string. The words in the
               input String will only contain valid consecutive numbers.

        :return:
        ","0","Testing 'order' function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Fundamentals","",""
"
        For a given string s find the character c (or C) with
        longest consecutive repetition and return: (c, l)
        where l (or L) is the length of the repetition.

        For empty string return: ('', 0)
        :return:
        ","0","Testing 'longest_repetition' function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing get_size function with various inputs
        :return:
        ","0","get_size function tests","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Math","",""
"
        Testing hoop_count function

        Alex just got a new hula hoop, he loves it but feels
        discouraged because his little brother is better than him

        Write a program where Alex can input (n) how many times
        the hoop goes round and it will return him an encouraging message

        - If Alex gets 10 or more hoops, return the string ""Great, now move on to tricks"".
        - If he doesn't get 10 hoops, return the string ""Keep at it until you get it"".

        :return:
        ","0","Testing hoop_count function (positive test case)","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Fundamentals","",""
"","0","Testing permute_a_palindrome (empty string)","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing enough function
        with various test data

        If there is enough space, return 0,
        and if there isn't, return the number
        of passengers he can't take.
        :return:
        ","0","STesting enough function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Math","",""
"
        Testing litres function with various test inputs
        :return:
        ","15","Testing litres function with various test inputs","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Math","",""
"
        Testing 'zeros' program that should calculate the number
        of trailing zeros in a factorial of a given number.
        :return: None
        ","0","Testing zeros function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing Walker class
        Testing starting position property based on negative grids
        ","0","test_starting_position_from_negatives","Competent","Mon Aug 26 22:05:27 PDT 2024","skipped","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Test with one char only
        :return:
        ","0","Test with one char only","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        if there are more than 2 return
        'I smell a series!'.
        :return:
        ","0","Should return 'I smell a series!'","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing next_bigger function

        You have to test a function that takes a positive integer
        number and returns the next bigger number formed by the same digits:

        12 ==> 21
        513 ==> 531
        2017 ==> 2071

        If no bigger number can be composed using those digits, return -1
        ","0","Testing next_bigger function","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing 'count_sheeps' function
        Consider an array of sheep where some sheep
        may be missing from their place.
        We need a function that counts the
        number of sheep present in the array
        (true means present).

        :return:
        ","0","Testing 'count_sheeps' function: positive flow","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Exclusive or or exclusive disjunction is a
        logical operation that outputs true only when
        inputs differ (one is true, the other is false).

        XOR outputs true whenever the inputs differ:

        Source:
        https://en.wikipedia.org/wiki/Exclusive_or
        :return:
        ","16","XOR logical operator","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Test a function which formats a duration,
        given as a number of seconds, in a human-friendly way.

        The function must accept a non-negative integer.
        If it is zero, it just returns ""now"". Otherwise,
        the duration is expressed as a combination of years,
        days, hours, minutes and seconds.
        :return:
        ","0","Testing format_duration","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing letter_frequency function
        where all chars are in mixed case
        :return:
        ","0","All chars are in mixed case","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing Sudoku class

        Given a Sudoku data structure with size NxN, N > 0 and √N == integer,
        assert a method that validates if it has been filled out correctly.
        :return:
        ","16","Testing Sudoku class","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing 'numericals' function
        :return:
        ","0","Testing 'numericals' function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing pig_it function

        The function should mpve the first letter of each
        word to the end of it, then add ""ay"" to the end
        of the word. Leave punctuation marks untouched.
        :return:
        ","0","Testing pig_it function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Verify that 'has_subpattern' function to returns
        either true/True or false/False if a string can be
        seen as the repetition of a simpler/shorter subpattern or not.

        1. if a subpattern has been used, it will be repeated
        at least twice, meaning the subpattern has to be
        shorter than the original string;

        2. the strings you will be given might or might not
        be created repeating a given subpattern, then
        shuffling the result.
        :return:
        ","16","Testing 'has_subpattern' (part 2) function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Advanced Language Features","",""
"
        Testing the 'unique_in_order' function
        with various test data
        :return:
        ","0","Testing the 'unique_in_order' function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Advanced Language Features","",""
"
        Simple Fun #152: Invite More Women?
        Testing invite_more_women function (positive)
        :return:
        ","0","Testing invite_more_women function (positive)","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"","0","Testing count_letters_and_digits function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Fundamentals","",""
"
        Testing 'solution' function.

        The should return a formatted string.
        The return value should equal ""Value is VALUE""
        where value is a 5 digit padded number.
        :return:
        ","0","Testing 'solution' function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        If the whole array is consecutive then return
        null or Nothing or None.
        :return:
        ","0","Non is expected","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Test a function that will find all the anagrams of a word from a list.
        You will be given two inputs a word and an array with words. You should
        return an array of all the anagrams or an empty array if there are none.

        For example:

        anagrams('abba', ['aabb', 'abcd', 'bbaa', 'dada']) => ['aabb', 'bbaa']
        anagrams('racer', ['crazer', 'carer', 'racar', 'caers', 'racer']) => ['carer', 'racer']
        anagrams('laser', ['lazing', 'lazy',  'lacer']) => []
        :return:
        ","0","Testing anagrams function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing easy_diagonal function
        :param self:
        :return:
        ","648","Testing easy_diagonal function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Fundamentals","",""
"","0","test_solution_medium","Novice","Mon Aug 26 22:05:27 PDT 2024","skipped","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"","0","Testing easy_line function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Fundamentals","",""
"
        Testing 'save' function: negative

        The function should determine how many
        files of the copy queue you will be able
        to save into your Hard Disk Drive.
        :return:
        ","0","Testing 'save' function: negative","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        If there are one or two good ideas,
        return 'Publish!',
        :return:
        ","0","Should return 'Publish!'","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing list_squared function

        :return:
        ","125","Testing list_squared function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing Decoding functionality
        ","0","Testing Decoding functionality","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Assert that 'domain_name' function
        returns domain name from given URL string.

        :return:
        ","0","Testing domain_name function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing 'DefaultList' class: pop
        :return:
        ","0","Testing 'DefaultList' class: pop","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Object-Oriented Programming","",""
"
        Test a function validSolution/ValidateSolution/valid_solution()
        that accepts a 2D array representing a Sudoku board, and returns
        true if it is a valid solution, or false otherwise. The cells of
        the sudoku board may also contain 0's, which will represent empty
        cells. Boards containing one or more zeroes are considered to be
        invalid solutions.

        The board is always 9 cells by 9 cells, and every
        cell only contains integers from 0 to 9.
        :return:
        ","0","Testing validSolution","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Test string with no alphabet chars
        :return:
        ","0","String with no alphabet chars","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Simple positive test
        :return:
        ","0","Testing toJadenCase function (positive)","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Sample Tests for make_upper_case function
        :return:
        ","0","Testing make_upper_case function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Test lists with multiple digits
        :return:
        ","0","'multiply' function verification: lists with multiple digits","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        -1: Negative numbers cannot be square numbers
        :return:
        ","0","Negative numbers","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Math","",""
"
        Testing 'generate_hashtag' function
        ","0","Testing 'generate_hashtag' function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing growing_plant function

        Task

        Each day a plant is growing by upSpeed meters.
        Each night that plant's height decreases by downSpeed
        meters due to the lack of sun heat. Initially, plant
        is 0 meters tall. We plant the seed at the beginning
        of a day. We want to know when the height of the plant
        will reach a certain level.

        Example

        For upSpeed = 100, downSpeed = 10 and desiredHeight = 910,
        the output should be 10.

        For upSpeed = 10, downSpeed = 9 and desiredHeight = 4,
        the output should be 1. Because the plant reach to the desired
        height at day 1(10 meters).

        Input/Output

        [input] integer upSpeed
        A positive integer representing the daily growth.
        Constraints: 5 ≤ upSpeed ≤ 100.

        [input] integer downSpeed
        A positive integer representing the nightly decline.
        Constraints: 2 ≤ downSpeed < upSpeed.

        [input] integer desiredHeight
        A positive integer representing the threshold.
        Constraints: 4 ≤ desiredHeight ≤ 1000.

        [output] an integer

        The number of days that it will take for the plant to
        reach/pass desiredHeight (including the last day in the
        total count).
        ","0","Testing growing_plant function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Algorithms","",""
"","0","test_solution_basic","Novice","Mon Aug 26 22:05:27 PDT 2024","skipped","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing alphabet_war function

        Introduction
        There is a war and nobody knows - the alphabet war!
        The letters hide in their nuclear shelters. The
        nuclear strikes hit the battlefield and killed a
        lot of them.

        Task
        Write a function that accepts battlefield string
        and returns letters that survived the nuclear strike.

        1. The battlefield string consists of only small letters, #,[ and ].

        2. The nuclear shelter is represented by square brackets [].
        The letters inside the square brackets represent letters
        inside the shelter.

        3. The # means a place where nuclear strike hit the battlefield.
        If there is at least one # on the battlefield, all letters outside
        of shelter die. When there is no any # on the battlefield, all letters
        survive (but do not expect such scenario too often ;-P ).

        4. The shelters have some durability. When 2 or more # hit close to
        the shelter, the shelter is destroyed and all letters inside evaporate.
        The 'close to the shelter' means on the ground between the shelter and
        the next shelter (or beginning/end of battlefield). The below samples
        make it clear for you.
        :return:
        ","15","Testing alphabet_war function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Advanced Language Features","",""
"
        Testing encrypt_this function
        :param self:
        :return:
        ","0","Testing encrypt_this function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Fundamentals","",""
"
        Testing alphanumeric function with
        various test inputs

        The string has the following conditions
        to be alphanumeric only

        1. At least one character ("""" is not valid)
        2. Allowed characters are uppercase or lowercase
           latin letters and digits from 0 to 9
        3. No whitespaces or underscore or special chars

        :return: None
        ","0","Testing alphanumeric function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Advanced Language Features","",""
"
        In this kata, you must create a digital root function.

        A digital root is the recursive sum of all the digits
        in a number. Given n, take the sum of the digits of n.
        If that value has more than one digit, continue reducing
        in this way until a single-digit number is produced. This
        is only applicable to the natural numbers.
        :return:
        ","0","Testing digital_root function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing a function named increment_string

        :return:
        ","0","Testing increment_string function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Test a function `smallest` which will return an array or a tuple or a string
        depending on the language (see ""Sample Tests"") with

          1) the smallest number you got
          2) the index i of the digit d you took, i as small as possible
          3) the index j (as small as possible) where you insert this digit d to have the smallest number.

        :return:
        ","0","test_smallest","Novice","Mon Aug 26 22:05:27 PDT 2024","skipped","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        String subpattern recognition I

        Verify that 'has_subpattern' function to returns
        either true/True or false/False if a string can be
        seen as the repetition of a simpler/shorter subpattern or not.
        :return:
        ","0","Testing 'has_subpattern' (part 1) function","Novice","Mon Aug 26 22:05:28 PDT 2024","passed","Mon Aug 26 22:05:28 PDT 2024","Unit Tests","Advanced Language Features","",""
"
        Testing length function

        The method length, which accepts a linked list
        (head), and returns the length of the list.
        :return:
        ","0","Testing length function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"","16","Testing calculate function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Fundamentals","",""
"
        Testing two_decimal_places function
        with various test inputs

        Each floating-point number should be
        formatted that only the first two
        decimal places are returned.

        You don't need to check whether the input
        is a valid number because only valid numbers
        are used in the tests.

        Don't round the numbers! Just cut them
        after two decimal places!

        :return:
        ","0","Testing two_decimal_places function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing first_non_repeated function
        :return:
        ","0","Testing first_non_repeated function with various inputs","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Testing is_solved function

        The function should return whether the
        board's current state is solved.

        We want our function to return:

            -1 if the board is not yet finished (there are empty spots),
            1 if ""X"" won,
            2 if ""O"" won,
            0 if it's a cat's game (i.e. a draw).
        ","0","Testing done_or_not function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Positive tests
        :return:
        ","0","Testing period_is_late function (positive)","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Positive test cases for gen_primes function testing
        :return:
        ","0","Positive test cases for gen_primes function testing","Helper methods","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","No kyu helper methods","",""
"
        Testing make_class function
        :return:
        ","0","Testing make_class function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","OOP","",""
"
        Testing 'snail' function

        Given an n x n array, 'snail' function should return the array
        elements arranged from outermost elements to the middle element,
        traveling clockwise.
        ","0","Testing 'snail' function","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing is_palindrome function
        with various test inputs

        The function should check if a
        given string (case insensitive)
        is a palindrome.
        ","0","Testing is_palindrome function","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Data Structures","",""
"
        Verify that the function returns Messi's
        total number of goals in all three leagues.
        :return:
        ","0","goals function verification","Beginner","Mon Aug 26 22:05:29 PDT 2024","passed","Mon Aug 26 22:05:29 PDT 2024","Unit Tests","Math","",""
"
        Test a function dirReduc which will take an array of
        strings and returns an array of strings with the needless
        directions removed (W<->E or S<->N side by side).

        The Haskell version takes a list of directions with
        data Direction = North | East | West | South.

        The Clojure version returns nil when the path is
        reduced to nothing.

        The Rust version takes a slice of enum Direction
        {NORTH, SOUTH, EAST, WEST}.
        :return:
        ","0","Testing dirReduc function","Novice","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
"
        Testing 'solution' function

        The solution should strips all text that follows any
        of a set of comment markers passed in. Any whitespace at
        the end of the line should also be stripped out.
        ","15","Testing 'solution' function","Competent","Mon Aug 26 22:05:27 PDT 2024","passed","Mon Aug 26 22:05:27 PDT 2024","Unit Tests","Algorithms","",""
